"Product ID","Product Name","Category String",Price,"Calculated Price","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Brand + Name","Page Title","Product URL","Product Images"
13204,"Vitale Concorde Relaxer 16oz","Salon;Salon/Hair Care Products",5.99,5.99,,True,True,,"Vitale  Vitale Concorde Relaxer 16oz",,/vitale-concorde-relaxer-16oz/,"Product Image URL: http://tophairwigs.com/product_images/a/288/shopping__05051.jpg"
13205,"Vitale Tangle pHree Shampoo 8oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"Vitale  Vitale Tangle pHree Shampoo 8oz",,/vitale-tangle-phree-shampoo-8oz/,"Product Image URL: http://tophairwigs.com/product_images/j/786/vitale_tangle_phree_moisturizing_shampoo_32_oz_2__86045.jpg"
13206,"Vitale Hair Polish 8oz","Salon;Salon/Hair Care Products",12.99,12.99,,True,True,,"Vitale  Vitale Hair Polish 8oz",,/vitale-hair-polish-8oz/,"Product Image URL: http://tophairwigs.com/product_images/j/776/Vitale_Oil_Free_Hair_Polish_1__50206.jpg"
13207,"Vitale Olive Oil Virgin Hair Oil 7oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"Vitale  Vitale Olive Oil Virgin Hair Oil 7oz",,/vitale-olive-oil-virgin-hair-oil-7oz/,"Product Image URL: http://tophairwigs.com/product_images/m/109/41OMJ5whOTL._SY355___21564.jpg"
13208,"Vitale Itch Relief 8oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"Vitale  Vitale Itch Relief 8oz",,/vitale-itch-relief-8oz/,"Product Image URL: http://tophairwigs.com/product_images/q/443/vitale_itch_relief_spray_8_oz__47641.jpg"
13209,"Vitale Olive Oil Root Therapy 8oz","Salon;Salon/Hair Care Products",6.99,6.99,,True,True,,"Vitale  Vitale Olive Oil Root Therapy 8oz",,/vitale-olive-oil-root-therapy-8oz/,"Product Image URL: http://tophairwigs.com/product_images/r/675/61PKga1R0L._SX425___58796.jpg"
13210,"Vitale Nutri-Grow Hair & Scalp Conditioner 8 oz","Salon;Salon/Hair Care Products",5.99,5.99,,True,True,,"Vitale  Vitale Nutri-Grow Hair & Scalp Conditioner 8 oz",,/vitale-nutri-grow-hair-scalp-conditioner-8-oz/,"Product Image URL: http://tophairwigs.com/product_images/m/147/Nutri_Grow_Scalp_Hair_Conditioner_1024x1024__85802.jpg"
13211,"Vitale Revive Positive Conditioner 16 oz","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Shampoo & Conditioner",7.99,7.99,,True,True,,"Vitale  Vitale Revive Positive Conditioner 16 oz",,/vitale-revive-positive-conditioner-16-oz/,"Product Image URL: http://tophairwigs.com/product_images/g/155/vitale_revive_positive_conditioner_16_oz_1__14857.jpg"
13212," Vitale Base Crème(Step 1) [14oz]","Salon;Salon/Hair Care Products",3.99,3.99,,True,True,,"Vitale   Vitale Base Crème(Step 1) [14oz]",,/vitale-base-creme-step-1-14oz/,"Product Image URL: http://tophairwigs.com/product_images/q/820/v_150_a_1_500x500_400x400__15549.jpg"
13213,"Vitale Mo' Body Essential Oil 8 oz","Salon;Salon/Hair Care Products",3.99,3.99,,True,True,,"Vitale  Vitale Mo' Body Essential Oil 8 oz",,/vitale-mo-body-essential-oil-8-oz/,"Product Image URL: http://tophairwigs.com/product_images/h/306/ebonyline51_2252_1638174335__73086.jpg"
13214,"Vitale Mo'Body Neutralizing Shampoo [8oz]","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Shampoo & Conditioner",2.99,2.99,,True,True,,"Vitale  Vitale Mo'Body Neutralizing Shampoo [8oz]",,/vitale-mobody-neutralizing-shampoo-8oz/,"Product Image URL: http://tophairwigs.com/product_images/r/882/v_224_a_1_500x500_400x400__63060.jpg"
13215,"Wonder Gro Max Herbal Hairdress","Salon;Salon/Hair Care Products",4.99,4.99,True,,True,,"WonderGro  Wonder Gro Max Herbal Hairdress",,/wonder-gro-max-herbal-hairdress/,"Product Image URL: http://tophairwigs.com/product_images/i/816/yhst_88462588038071_2398_1146040495__13278.gif"
13216,"Wonder Gro Max Herb Blaster Tea Tree Stimulator 12oz","Salon;Salon/Hair Care Products",4.99,4.99,True,,True,,"WonderGro  Wonder Gro Max Herb Blaster Tea Tree Stimulator 12oz",,/wonder-gro-max-herb-blaster-tea-tree-stimulator-12oz/,"Product Image URL: http://tophairwigs.com/product_images/o/077/wonder_gro_tea_tree_stimulator_hair_scalp_oil_12_oz_4_27299.1385402122.386.513__11315.jpg"
13217,"Wonder Gro Real Thick Medicated Coarse and Curly Grooming and Styling Oil- 12oz","Salon;Salon/Hair Care Products",4.99,4.99,True,,True,,"WonderGro  Wonder Gro Real Thick Medicated Coarse and Curly Grooming and Styling Oil- 12oz",,/wonder-gro-real-thick-medicated-coarse-and-curly-grooming-and-styling-oil-12oz/,"Product Image URL: http://tophairwigs.com/product_images/z/909/663068_2_39826.1401989169.500.500__93547.jpg"
13218,"Wonder Gro Shea Butter Mega Moisture Hairdress 12oz","Salon;Salon/Hair Care Products",4.99,4.99,True,,True,,"WonderGro  Wonder Gro Shea Butter Mega Moisture Hairdress 12oz",,/wonder-gro-shea-butter-mega-moisture-hairdress-12oz/,"Product Image URL: http://tophairwigs.com/product_images/e/891/yhst_88462588038071_2398_116307771__06628.jpg"
13219,"Wonder Gro Max Mega Growth Carrot Oil Hairdress 12oz","Salon;Salon/Hair Care Products",4.99,4.99,True,,True,,"WonderGro  Wonder Gro Max Mega Growth Carrot Oil Hairdress 12oz",,/wonder-gro-max-mega-growth-carrot-oil-hairdress-12oz/,"Product Image URL: http://tophairwigs.com/product_images/j/706/yhst_88462588038071_2398_1179055654__55625.jpg"
13220,"Wonder Gro Max Real Thick Styling Oil 12oz","Salon;Salon/Hair Care Products",4.99,4.99,True,,True,,"WonderGro  Wonder Gro Max Real Thick Styling Oil 12oz",,/wonder-gro-max-real-thick-styling-oil-12oz/,"Product Image URL: http://tophairwigs.com/product_images/g/367/yhst_88462588038071_2398_111470623__88626.jpg"
13221,"WonderGro Pure Sulfur Hair & Scalp Vitalizer- 12oz","Salon;Salon/Hair Care Products",4.99,4.99,True,,True,,"WonderGro  WonderGro Pure Sulfur Hair & Scalp Vitalizer- 12oz",,/wondergro-pure-sulfur-hair-scalp-vitalizer-12oz/,"Product Image URL: http://tophairwigs.com/product_images/a/593/56525_LRG__72669.jpg"
13222,"Wonder Gro Max Castor & Coconut Hairdress 6oz.","Salon;Salon/Hair Care Products",2.99,2.99,True,,True,,"WonderGro  Wonder Gro Max Castor & Coconut Hairdress 6oz.",,/wonder-gro-max-castor-coconut-hairdress-6oz/,"Product Image URL: http://tophairwigs.com/product_images/f/140/yhst_88462588038071_2398_122740679__65328.jpg"
13223,"Wonder Gro Lite Herbal Hairdress 6oz","Salon;Salon/Hair Care Products",3.99,3.99,True,,True,,"WonderGro  Wonder Gro Lite Herbal Hairdress 6oz",,/wonder-gro-lite-herbal-hairdress-6oz/,"Product Image URL: http://tophairwigs.com/product_images/t/178/yhst_88462588038071_2398_1165216951__30801.jpg"
13224,"Wonder Gro Herbal Blaster Serious Stimulator Hair Lotion 8 oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"WonderGro  Wonder Gro Herbal Blaster Serious Stimulator Hair Lotion 8 oz",,/wonder-gro-herbal-blaster-serious-stimulator-hair-lotion-8-oz/,"Product Image URL: http://tophairwigs.com/product_images/i/681/ebonyline51_2252_1529055763__87078.jpg"
13225,"Wonder Gro Herb Blaster Serious Stimulator Shampoo & Conditioner Growth 8oz","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Shampoo & Conditioner",3.99,3.99,,True,True,,"WonderGro  Wonder Gro Herb Blaster Serious Stimulator Shampoo & Conditioner Growth 8oz",,/wonder-gro-herb-blaster-serious-stimulator-shampoo-conditioner-growth-8oz/,"Product Image URL: http://tophairwigs.com/product_images/p/475/KGrHqNHJC0FCy6RynU6BQs9IWGl4Q60_35__56591.JPG"
13226,"Loc-A-Fella Loc & Twist Gel 4oz","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Styling Product",4.99,4.99,,True,True,,"Razac  Loc-A-Fella Loc & Twist Gel 4oz",,/loc-a-fella-loc-twist-gel-4oz/,"Product Image URL: http://tophairwigs.com/product_images/m/608/yhst_88462588038071_2398_1018403647__25411.jpg"
13227,"Loc-A-Fella Loc & Twist Butter 4oz","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Styling Product",4.99,4.99,True,,True,,"Razac  Loc-A-Fella Loc & Twist Butter 4oz",,/loc-a-fella-loc-twist-butter-4oz/,"Product Image URL: http://tophairwigs.com/product_images/j/824/yhst_88462588038071_2398_629998840__57319.jpg"
13228,"Loc-A-Fella Loc Drops Anti-Itch Hair & Scalp Conditioner 8oz","Salon;Salon/Hair Care Products",5.99,5.99,,True,True,,"Razac  Loc-A-Fella Loc Drops Anti-Itch Hair & Scalp Conditioner 8oz",,/loc-a-fella-loc-drops-anti-itch-hair-scalp-conditioner-8oz/,"Product Image URL: http://tophairwigs.com/product_images/a/695/yhst_88462588038071_2398_1018109985__86057.jpg"
